candidate,office,district,party,county,precinct,votes
Jo Jorgensen,President,,L,Hinds,Precinct 13,0
Brock Pierce,President,,IND,Hinds,Precinct 13,0
Kanye West,President,,IND,Hinds,Precinct 13,2
Mike Espy,U.S. Senate,,D,Hinds,Precinct 13,789
Cindy Hyde-Smith,U.S. Senate,,R,Hinds,Precinct 13,13
Jimmy L Edwards,U.S. Senate,,L,Hinds,Precinct 13,4
Brian Flowers,U.S. House,2,R,Hinds,Precinct 13,20
Bennie G Thompson,U.S. House,2,D,Hinds,Precinct 13,788
Joseph R. Biden,President,,D,Hinds,Precinct 14,380
Donald J. Trump,President,,R,Hinds,Precinct 14,332
Don Blankenship,President,,AC,Hinds,Precinct 14,1
Brian Carroll,President,,AS,Hinds,Precinct 14,3
Phil Collins,President,,IND,Hinds,Precinct 14,0
Howie Hawkins,President,,G,Hinds,Precinct 14,1
Jo Jorgensen,President,,L,Hinds,Precinct 14,4
Brock Pierce,President,,IND,Hinds,Precinct 14,1
Kanye West,President,,IND,Hinds,Precinct 14,4
Mike Espy,U.S. Senate,,D,Hinds,Precinct 14,397
Cindy Hyde-Smith,U.S. Senate,,R,Hinds,Precinct 14,320
Jimmy L Edwards,U.S. Senate,,L,Hinds,Precinct 14,11
Dorothy Dot Benford,U.S. House,3,D,Hinds,Precinct 14,278
Michael Guest,U.S. House,3,R,Hinds,Precinct 14,441
Joseph R. Biden,President,,D,Hinds,Precinct 16,1034
Donald J. Trump,President,,R,Hinds,Precinct 16,339
Don Blankenship,President,,AC,Hinds,Precinct 16,0
Brian Carroll,President,,AS,Hinds,Precinct 16,12
Phil Collins,President,,IND,Hinds,Precinct 16,0
Howie Hawkins,President,,G,Hinds,Precinct 16,4
Jo Jorgensen,President,,L,Hinds,Precinct 16,25
Brock Pierce,President,,IND,Hinds,Precinct 16,2
Kanye West,President,,IND,Hinds,Precinct 16,6
Mike Espy,U.S. Senate,,D,Hinds,Precinct 16,1080
Cindy Hyde-Smith,U.S. Senate,,R,Hinds,Precinct 16,316
Jimmy L Edwards,U.S. Senate,,L,Hinds,Precinct 16,26
Brian Flowers,U.S. House,2,R,Hinds,Precinct 16,83
Bennie G Thompson,U.S. House,2,D,Hinds,Precinct 16,534
Dorothy Dot Benford,U.S. House,3,D,Hinds,Precinct 16,393
Michael Guest,U.S. House,3,R,Hinds,Precinct 16,394
Joseph R. Biden,President,,D,Hinds,Precinct 18,316
Donald J. Trump,President,,R,Hinds,Precinct 18,8
Don Blankenship,President,,AC,Hinds,Precinct 18,0
Brian Carroll,President,,AS,Hinds,Precinct 18,1
Phil Collins,President,,IND,Hinds,Precinct 18,1
Howie Hawkins,President,,G,Hinds,Precinct 18,0
Jo Jorgensen,President,,L,Hinds,Precinct 18,1
Brock Pierce,President,,IND,Hinds,Precinct 18,0
Kanye West,President,,IND,Hinds,Precinct 18,3
Mike Espy,U.S. Senate,,D,Hinds,Precinct 18,323
Cindy Hyde-Smith,U.S. Senate,,R,Hinds,Precinct 18,4
Jimmy L Edwards,U.S. Senate,,L,Hinds,Precinct 18,4
Brian Flowers,U.S. House,2,R,Hinds,Precinct 18,13
Bennie G Thompson,U.S. House,2,D,Hinds,Precinct 18,318
