county,precinct,office,district,candidate,party,votes,winner
Jasper,Moss First,State Treasurer,,Lynn Fitch,R,33,
Jasper,Moss First,State Treasurer,,Shawn O'Hara,Reform,0,
Jasper,Moss Second,State Treasurer,,Connie Moran,D,141,
Jasper,Moss Second,State Treasurer,,Lynn Fitch,R,381,
Jasper,Moss Second,State Treasurer,,Shawn O'Hara,Reform,19,
Jasper,Palestine,State Treasurer,,Connie Moran,D,46,
Jasper,Palestine,State Treasurer,,Lynn Fitch,R,13,
Jasper,Palestine,State Treasurer,,Shawn O'Hara,Reform,0,
Jasper,Paulding,State Treasurer,,Connie Moran,D,411,
Jasper,Paulding,State Treasurer,,Lynn Fitch,R,156,
Jasper,Paulding,State Treasurer,,Shawn O'Hara,Reform,25,
Jasper,Fellowship,State Treasurer,,Connie Moran,D,13,
Jasper,Fellowship,State Treasurer,,Lynn Fitch,R,56,
Jasper,Fellowship,State Treasurer,,Shawn O'Hara,Reform,4,
Jasper,Midway,State Treasurer,,Connie Moran,D,140,
Jasper,Midway,State Treasurer,,Lynn Fitch,R,79,
Jasper,Midway,State Treasurer,,Shawn O'Hara,Reform,8,
Jasper,Rose Hill,State Treasurer,,Connie Moran,D,146,
Jasper,Rose Hill,State Treasurer,,Lynn Fitch,R,160,
Jasper,Rose Hill,State Treasurer,,Shawn O'Hara,Reform,13,
Jasper,Vossburg,State Treasurer,,Connie Moran,D,206,
Jasper,Vossburg,State Treasurer,,Lynn Fitch,R,41,
Jasper,Vossburg,State Treasurer,,Shawn O'Hara,Reform,13,
Jasper,Bay Springs Beat 3,State Treasurer,,Connie Moran,D,274,
Jasper,Bay Springs Beat 3,State Treasurer,,Lynn Fitch,R,290,
Jasper,Bay Springs Beat 3,State Treasurer,,Shawn O'Hara,Reform,8,
Jasper,Louin,State Treasurer,,Connie Moran,D,217,
Jasper,Louin,State Treasurer,,Lynn Fitch,R,204,
Jasper,Louin,State Treasurer,,Shawn O'Hara,Reform,10,
Jasper,Montrose,State Treasurer,,Connie Moran,D,112,
Jasper,Montrose,State Treasurer,,Lynn Fitch,R,111,
Jasper,Montrose,State Treasurer,,Shawn O'Hara,Reform,7,
Jasper,Bay Springs Beat 4,State Treasurer,,Connie Moran,D,350,
Jasper,Bay Springs Beat 4,State Treasurer,,Lynn Fitch,R,290,
Jasper,Bay Springs Beat 4,State Treasurer,,Shawn O'Hara,Reform,20,
Jasper,Stringer,State Treasurer,,Connie Moran,D,113,
Jasper,Stringer,State Treasurer,,Lynn Fitch,R,592,
Jasper,Stringer,State Treasurer,,Shawn O'Hara,Reform,29,
Jasper,Heidelberg Beat 5,State Treasurer,,Connie Moran,D,584,
Jasper,Heidelberg Beat 5,State Treasurer,,Lynn Fitch,R,140,
Jasper,Heidelberg Beat 5,State Treasurer,,Shawn O'Hara,Reform,24,
Jasper,Claiborne,State Treasurer,,Connie Moran,D,135,
Jasper,Claiborne,State Treasurer,,Lynn Fitch,R,101,
Jasper,Claiborne,State Treasurer,,Shawn O'Hara,Reform,9,
Jasper,Philadelphia,State Treasurer,,Connie Moran,D,173,
Jasper,Philadelphia,State Treasurer,,Lynn Fitch,R,63,
Jasper,Philadelphia,State Treasurer,,Shawn O'Hara,Reform,5,
Jasper,Beat 1 Antioch 2 Judicial,State Senate,34,Haskins Montgomery,D,177,
Jasper,Beat 1 Antioch 2 Judicial,State Senate,34,Gary Blakeney,R,65,
Jasper,Beat 1 Holders - Waldrup 1,State Senate,34,Haskins Montgomery,D,135,
Jasper,Beat 1 Holders - Waldrup 1,State Senate,34,Gary Blakeney,R,10,
Jasper,Beat 1 Holders - Waldrup 2,State Senate,34,Haskins Montgomery,D,275,
Jasper,Beat 1 Holders - Waldrup 2,State Senate,34,Gary Blakeney,R,70,
Jasper,Moss First,State Senate,34,Haskins Montgomery,D,16,
Jasper,Moss First,State Senate,34,Gary Blakeney,R,20,
Jasper,Moss Second,State Senate,34,Haskins Montgomery,D,330,
Jasper,Moss Second,State Senate,34,Gary Blakeney,R,211,
Jasper,Palestine,State Senate,34,Haskins Montgomery,D,52,
Jasper,Palestine,State Senate,34,Gary Blakeney,R,7,
Jasper,Paulding,State Senate,34,Haskins Montgomery,D,476,
Jasper,Paulding,State Senate,34,Gary Blakeney,R,119,
Jasper,Fellowship,State Senate,34,Haskins Montgomery,D,35,
Jasper,Fellowship,State Senate,34,Gary Blakeney,R,38,
Jasper,Midway,State Senate,34,Haskins Montgomery,D,179,
Jasper,Midway,State Senate,34,Gary Blakeney,R,51,
