page,candidate,office,district,party,county,precinct,votes
6,Rickey L Cole,Commissioner of Agriculture & Commerce,,D,Scott,Beat 3/Northwest Forest,16
6,Andy Gipson,Commissioner of Agriculture & Commerce,,R,Scott,Beat 3/Northwest Forest,90
9,Mike Marlow,State Senate,31,D,Scott,Beat 3/Northwest Forest,18
9,Tyler McCaughn,State Senate,31,R,Scott,Beat 3/Northwest Forest,87
9,Vance Cox,State House,75,R,Scott,Beat 3/Northwest Forest,54
9,Tom Miles,State House,75,D,Scott,Beat 3/Northwest Forest,52
9,Joe C Bradford,State House,78,D,Scott,Beat 3/Northwest Forest,x
9,Randal 'Randy' Rushing,State House,78,R,Scott,Beat 3/Northwest Forest,x
3,Jim Hood,Governor,,D,Scott,Beat 3/Pulaski,58
3,Tate Reeves,Governor,,R,Scott,Beat 3/Pulaski,155
3,Bob Hickingbottom,Governor,,C,Scott,Beat 3/Pulaski,0
3,David R Singletary,Governor,,IND,Scott,Beat 3/Pulaski,2
3,Delbert Hosemann,Lieutenant Governor,,R,Scott,Beat 3/Pulaski,163
3,Jay Hughes,Lieutenant Governor,,D,Scott,Beat 3/Pulaski,49
3,Johnny DuPree,Secretary of State,,D,Scott,Beat 3/Pulaski,44
3,Michael Watson,Secretary of State,,R,Scott,Beat 3/Pulaski,165
3,Jennifer Riley Collins,Attorney General,,D,Scott,Beat 3/Pulaski,40
3,Lynn Fitch,Attorney General,,R,Scott,Beat 3/Pulaski,173
3,Shad White,State Auditor,,R,Scott,Beat 3/Pulaski,194
6,Addie Lee Green,State Treasurer,,D,Scott,Beat 3/Pulaski,36
6,David McRae,State Treasurer,,R,Scott,Beat 3/Pulaski,175
6,Rickey L Cole,Commissioner of Agriculture & Commerce,,D,Scott,Beat 3/Pulaski,35
6,Andy Gipson,Commissioner of Agriculture & Commerce,,R,Scott,Beat 3/Pulaski,176
9,Mike Marlow,State Senate,31,D,Scott,Beat 3/Pulaski,30
9,Tyler McCaughn,State Senate,31,R,Scott,Beat 3/Pulaski,182
9,Vance Cox,State House,75,R,Scott,Beat 3/Pulaski,86
9,Tom Miles,State House,75,D,Scott,Beat 3/Pulaski,127
9,Joe C Bradford,State House,78,D,Scott,Beat 3/Pulaski,x
9,Randal 'Randy' Rushing,State House,78,R,Scott,Beat 3/Pulaski,x
3,Jim Hood,Governor,,D,Scott,Beat 4/Clifton,19
3,Tate Reeves,Governor,,R,Scott,Beat 4/Clifton,58
