candidate,office,district,party,county,precinct,votes
Bill Waller Jr.,Governor,,R,Wilkinson,TOTAL,8
Delbert Hosemann,Lieutenant Governor,,R,Wilkinson,TOTAL,46
Shane Quick,Lieutenant Governor,,R,Wilkinson,TOTAL,19
Sam Britton,Secretary of State,,R,Wilkinson,TOTAL,37
Michael Watson,Secretary of State,,R,Wilkinson,TOTAL,30
Mark Baker,Attorney General,,R,Wilkinson,TOTAL,35
Lynn Fitch,Attorney General,,R,Wilkinson,TOTAL,18
Andy Taggart,Attorney General,,R,Wilkinson,TOTAL,15
Shad White,State Auditor,,R,Wilkinson,TOTAL,55
Eugene S. 'Buck' Clarke,State Treasurer,,R,Wilkinson,TOTAL,31
David McRae,State Treasurer,,R,Wilkinson,TOTAL,34
Andy Gipson,Commissioner of Agriculture & Commerce,,R,Wilkinson,TOTAL,61
Mike Chaney,Commissioner of Insurance,,R,Wilkinson,TOTAL,65
Michael Brown,Governor,,D,Wilkinson,TOTAL,879
William Bond Compton Jr.,Governor,,D,Wilkinson,TOTAL,84
Jim Hood,Governor,,D,Wilkinson,TOTAL,1165
Robert J. Ray,Governor,,D,Wilkinson,TOTAL,101
Robert Shuler Smith,Governor,,D,Wilkinson,TOTAL,194
Gregory Wash,Governor,,D,Wilkinson,TOTAL,75
Velesha P Williams,Governor,,D,Wilkinson,TOTAL,276
Albert Wilson,Governor,,D,Wilkinson,TOTAL,50
Jay Hughes,Lieutenant Governor,,D,Wilkinson,TOTAL,2274
Johnny DuPree,Secretary of State,,D,Wilkinson,TOTAL,1611
Maryra Hodges Hunt,Secretary of State,,D,Wilkinson,TOTAL,898
Jennifer Riley Collins,Attorney General,,D,Wilkinson,TOTAL,2308
Addie Lee Green,State Treasurer,,D,Wilkinson,TOTAL,2266
Rickey L Cole,Commissioner of Agriculture & Commerce,,D,Wilkinson,TOTAL,2277
Robert E. Amos,Commissioner of Insurance,,D,Wilkinson,TOTAL,2215
Kelvin E Butler,State Senate,38,D,Wilkinson,TOTAL,1155
Tammy Witherspoon,State Senate,38,D,Wilkinson,TOTAL,1652
Aisha A Sanders,State House,96,D,Wilkinson,TOTAL,2317
