candidate,office,district,party,county,precinct,votes
Delbert Hosemann,Lieutenant Governor,,R,Yazoo,Satartia,30
Jay Hughes,Lieutenant Governor,,D,Yazoo,Satartia,15
Johnny DuPree,Secretary of State,,D,Yazoo,Satartia,14
Michael Watson,Secretary of State,,R,Yazoo,Satartia,31
Jennifer Riley Collins,Attorney General,,D,Yazoo,Satartia,13
Lynn Fitch,Attorney General,,R,Yazoo,Satartia,32
Shad White,State Auditor,,R,Yazoo,Satartia,36
Addie Lee Green,State Treasurer,,D,Yazoo,Satartia,13
David McRae,State Treasurer,,R,Yazoo,Satartia,32
Rickey L Cole,Commissioner of Agriculture & Commerce,,D,Yazoo,Satartia,12
Andy Gipson,Commissioner of Agriculture & Commerce,,R,Yazoo,Satartia,33
Barbara Blackmon,State Senate,21,D,Yazoo,Satartia,
Hayes Dent,State Senate,22,R,Yazoo,Satartia,
Joseph C Thomas Sr.,State Senate,22,D,Yazoo,Satartia,
Briggs Hopson,State Senate,23,R,Yazoo,Satartia,39
Kenneth Walker,State House,27,D,Yazoo,Satartia,
Bryant Clark,State House,47,D,Yazoo,Satartia,
Rufus E Straughter,State House,51,D,Yazoo,Satartia,
Kevin Ford,State House,54,R,Yazoo,Satartia,37
Stephanie McKenzie Foster,State House,63,D,Yazoo,Satartia,
Jim Hood,Governor,,D,Yazoo,Teen Center,643
Tate Reeves,Governor,,R,Yazoo,Teen Center,299
Bob Hickingbottom,Governor,,C,Yazoo,Teen Center,3
David R Singletary,Governor,,IND,Yazoo,Teen Center,5
Delbert Hosemann,Lieutenant Governor,,R,Yazoo,Teen Center,364
Jay Hughes,Lieutenant Governor,,D,Yazoo,Teen Center,566
Johnny DuPree,Secretary of State,,D,Yazoo,Teen Center,577
Michael Watson,Secretary of State,,R,Yazoo,Teen Center,333
Jennifer Riley Collins,Attorney General,,D,Yazoo,Teen Center,605
Lynn Fitch,Attorney General,,R,Yazoo,Teen Center,329
Shad White,State Auditor,,R,Yazoo,Teen Center,572
Addie Lee Green,State Treasurer,,D,Yazoo,Teen Center,581
David McRae,State Treasurer,,R,Yazoo,Teen Center,338
Rickey L Cole,Commissioner of Agriculture & Commerce,,D,Yazoo,Teen Center,595
Andy Gipson,Commissioner of Agriculture & Commerce,,R,Yazoo,Teen Center,321
Barbara Blackmon,State Senate,21,D,Yazoo,Teen Center,
